handle,name,status,collections,occasion,product_type,tier,price_low,price_high,primary_flowers,secondary_flowers,greenery,palette,arrangement_style,wrap_style,ribbon_style,vessel,size_options,short_description,long_description,seo_title,seo_description,meta_keywords,image_alt,concierge_tags,cross_sell,upsell,delivery_notes,care_instructions,availability_notes,tags,image_prompt
grand-red-rose-arrangement,Grand Red Rose Arrangement,existing,love-and-romance|anniversary|best-seller,romance|anniversary,Floral Arrangement,luxury,175,195,Deep red roses,Burgundy ranunculus,Italian ruscus|seeded eucalyptus,red,Full rounded low-and-lush arrangement,Presented in vessel — no wrap,"Champagne-gold and black satin ribbon, blank",Footed ivory ceramic vase,Classic (18)|Grand (24)|Opulent (36),"Two dozen velvety red roses arranged in refined, romantic abundance.","Two dozen of our deepest red roses gathered into a lavish, hand-arranged display that speaks the language of devotion without a single word. Each bloom is nestled at its most flattering angle, framed by soft eucalyptus and ruscus for an effortless, garden-gathered fullness. It is the grand gesture — the one that says everything you feel — delivered to a doorstep in Kingston the very same day.",Grand Red Rose Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,"Two dozen deep red roses in a lush luxury arrangement. The grand romantic gesture for anniversaries and love, with same-day Kingston delivery.","red rose arrangement, luxury roses Kingston, anniversary flowers Jamaica, romantic flower delivery, two dozen roses, same-day flowers Kingston",Grand Red Rose Arrangement — two dozen deep red roses in a footed ivory vase by The New Greenhouse,anniversary | her | romantic | luxury-tier | red | same-day-yes | partner | classic,red-rose-romance-luxe|blush-romance-luxe|forever-yours,midnight-elegance,Same-day delivery across Kingston for orders placed before 1pm; hand-delivered in a protective vase box.,"Keep vessel topped with fresh water, trim stems every two days, and display away from direct sun and fruit to extend bloom life.","Core best-seller, available year-round; peak-season lead time may apply around Valentine's Day.",experience:deluxe|channel:retail|delivery:same-day|occasion:romance|occasion:anniversary|collection:best-seller|flower:rose|palette:red|style:arrangement|format:vase|tier:luxury|recipient:her,"A finished gift-ready premium floral arrangement of two dozen deep red roses with burgundy ranunculus accents, Italian ruscus and seeded eucalyptus, hand-arranged with refined density in a low rounded dome, set in a footed ivory ceramic vase, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
blush-romance-luxe,Blush Romance Bouquet,existing,love-and-romance|anniversary|luxury-bouquet,romance|anniversary,Luxury Bouquet,premium,125,145,Blush and ivory roses,Lisianthus|spray roses,Silver dollar eucalyptus,blush,Hand-tied softly domed,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,A tender hand-tied gathering of blush and ivory roses for quiet romance.,"Soft as a whispered promise, this hand-tied bouquet blends blush and ivory roses with delicate lisianthus for a romance that feels gentle and enduring. The palette is understated yet deeply expressive — the flowers you reach for when love has grown quiet, sure, and beautiful. Wrapped in ivory tissue and finished with satin ribbon, it arrives ready to take a breath away in Kingston today.",Blush Romance Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,Blush and ivory roses hand-tied for tender romance and anniversaries. An elegant premium bouquet with same-day Kingston delivery.,"blush rose bouquet, romantic flowers Kingston, anniversary bouquet Jamaica, ivory roses, hand-tied bouquet, same-day flower delivery",Blush Romance Bouquet — blush and ivory roses hand-tied in ivory tissue by The New Greenhouse,romance | her | romantic | premium-tier | blush | same-day-yes | partner | classic,red-rose-romance-luxe|everlasting-love-peony-bouquet|pearl-anniversary-white-bouquet,grand-red-rose-arrangement,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Unwrap, trim stems at an angle, and place in fresh cool water; refresh water every two days and keep away from direct heat.",Available year-round; blush rose tones may vary subtly by season.,experience:deluxe|channel:retail|delivery:same-day|occasion:romance|occasion:anniversary|collection:luxury-bouquet|flower:rose|palette:blush|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of blush and ivory roses with lisianthus and spray roses, softened by silver dollar eucalyptus, hand-arranged with refined density in a soft dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
red-rose-romance-luxe,Red Rose Romance Bouquet,existing,love-and-romance|luxury-bouquet,romance,Luxury Bouquet,premium,105,125,Red roses (one dozen),Baby's breath,Ruscus,red,Classic hand-tied round,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic (12)|Grand (18)|Opulent (24),A timeless dozen red roses framed in soft baby's breath.,"The classic that never fades — a dozen radiant red roses cradled in clouds of baby's breath, hand-tied with quiet confidence. It is the bouquet that has said I love you for generations, and it still lands with the same sincere heartbeat. Wrapped in ivory tissue and satin ribbon, it arrives same-day in Kingston, ready to make an ordinary moment unforgettable.",Red Rose Romance Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,"A classic dozen red roses with baby's breath, hand-tied for romance. Timeless premium bouquet with same-day Kingston delivery.","dozen red roses, red rose bouquet Kingston, romantic flowers Jamaica, baby's breath roses, valentine flowers, same-day flower delivery",Red Rose Romance Bouquet — a dozen red roses with baby's breath hand-tied in ivory tissue by The New Greenhouse,romance | her | romantic | premium-tier | red | same-day-yes | partner | classic,grand-red-rose-arrangement|blush-romance-luxe|forever-yours,grand-red-rose-arrangement,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Trim stems on arrival, place in fresh cool water, refresh every two days, and keep away from direct sun and ripening fruit.",Available year-round; a Valentine's and everyday romance staple.,experience:deluxe|channel:retail|delivery:same-day|occasion:romance|collection:luxury-bouquet|flower:rose|palette:red|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of one dozen vivid red roses framed with soft baby's breath and ruscus greenery, hand-arranged with refined density in a classic round dome, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
forever-yours,Forever Yours,new,love-and-romance|anniversary|signature,romance|anniversary,Floral Arrangement,luxury,165,195,Red roses,Spray roses|red ranunculus,Ruscus|salal tips,red,Densely packed dome in keepsake box,Presented in keepsake box — no wrap,"Champagne-gold and black satin ribbon, blank",Black round keepsake hat box,Classic|Grand|Opulent,A dome of red roses set in a keepsake black hat box.,"Red roses arranged shoulder to shoulder in a sleek black keepsake box, so full and precise it looks like a single, breathtaking bloom. Long after the roses have had their moment, the elegant box remains — a quiet reminder of the day you said forever. It is romance made to last, delivered same-day across Kingston with the polish of a boutique gift.",Forever Yours | Luxury Flower Delivery Kingston | The New Greenhouse,Red roses domed in a black keepsake hat box for romance and anniversaries. A luxury boxed arrangement with same-day Kingston delivery.,"rose hat box, red roses in a box, luxury flowers Kingston, anniversary roses Jamaica, keepsake rose box, same-day flower delivery",Forever Yours — a dense dome of red roses in a black keepsake hat box by The New Greenhouse,anniversary | her | romantic | luxury-tier | red | same-day-yes | partner | modern,grand-red-rose-arrangement|red-rose-romance-luxe|midnight-elegance,midnight-elegance,Same-day delivery across Kingston for orders placed before 1pm; box is hand-delivered upright to protect the dome.,Roses are set in floral foam within the box — add a little water to the foam every two days and keep out of direct sun and heat.,"New signature-style piece; black keepsake box subject to stock, alternative charcoal box may substitute.",experience:deluxe|channel:retail|delivery:same-day|occasion:romance|occasion:anniversary|collection:signature|flower:rose|palette:red|style:arrangement|format:box|tier:luxury|recipient:her,"A finished gift-ready premium arrangement of red roses with spray roses and red ranunculus, hand-arranged with refined density into a tight rounded dome that fills a sleek black round keepsake hat box, tucked with ruscus and salal tips, box wrapped at the base with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black background, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
midnight-elegance,Midnight Elegance,new,love-and-romance|anniversary|signature,romance|anniversary,Floral Arrangement,luxury,175,205,Deep red and burgundy roses,Burgundy calla lilies|black-red ranunculus,Dark ruscus|plum-toned foliage,jewel,Dramatic asymmetric arrangement,Presented in vessel — no wrap,"Champagne-gold and black satin ribbon, blank",Matte black ceramic vase,Classic|Grand|Opulent,Deep red and burgundy roses with moody foliage for a sultry romance.,"Deep red and burgundy roses meet dark calla lilies and plum foliage in an arrangement as intoxicating as candlelight. This is romance with a lower, richer register — sensual, self-assured, and unforgettable. Set in a matte black vessel and hand-arranged for drama, Midnight Elegance arrives same-day in Kingston to mark the moments that deserve something bolder.",Midnight Elegance | Luxury Flower Delivery Kingston | The New Greenhouse,Deep red and burgundy roses with dark foliage in a moody jewel-toned arrangement. A luxury romance gift with same-day Kingston delivery.,"burgundy rose arrangement, dark red roses, jewel tone flowers Kingston, romantic luxury flowers Jamaica, moody floral arrangement, same-day flower delivery",Midnight Elegance — deep red and burgundy roses with dark foliage in a matte black vase by The New Greenhouse,romance | her | romantic | luxury-tier | jewel | same-day-yes | partner | opulent,forever-yours|grand-red-rose-arrangement|golden-anniversary-arrangement,golden-anniversary-arrangement,Same-day delivery across Kingston for orders placed before 1pm; hand-delivered in a protective vase box.,"Keep the vase topped with fresh water, trim stems every two days, and display away from direct sun to preserve the deep tones.",New luxury piece; burgundy calla lilies are seasonal and may substitute with deep-toned ranunculus.,experience:deluxe|channel:retail|delivery:same-day|occasion:romance|occasion:anniversary|collection:signature|flower:rose|palette:jewel|style:arrangement|format:vase|tier:luxury|recipient:her,"A finished gift-ready premium floral arrangement of deep red and burgundy roses with burgundy calla lilies and near-black ranunculus, hand-arranged with refined density in a dramatic asymmetric shape, accented by dark ruscus and plum-toned foliage, set in a matte black ceramic vase, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black background, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
everlasting-love-peony-bouquet,Everlasting Love Peony Bouquet,new,love-and-romance|anniversary|luxury-bouquet,romance|anniversary,Luxury Bouquet,premium,125,145,Blush peonies,Blush garden roses|ranunculus,Silver dollar eucalyptus|jasmine vine,blush,Loose romantic hand-tied,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,Lush blush peonies and garden roses in a romantic hand-tie.,"Full, ruffled peonies and blush garden roses gather into a bouquet that feels like the softest kind of love — the kind that only deepens with time. Their tousled, just-gathered fullness carries the romance of an English garden in early summer. Hand-tied and finished with satin ribbon, it arrives same-day in Kingston to celebrate a love meant to last forever.",Everlasting Love Peony Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,Blush peonies and garden roses hand-tied for romance and anniversaries. A lush premium bouquet with same-day Kingston delivery.,"peony bouquet Kingston, blush peonies, garden rose bouquet, anniversary flowers Jamaica, romantic peony flowers, same-day flower delivery",Everlasting Love Peony Bouquet — blush peonies and garden roses hand-tied in ivory tissue by The New Greenhouse,anniversary | her | romantic | premium-tier | blush | same-day-yes | partner | classic,blush-romance-luxe|pearl-anniversary-white-bouquet|red-rose-romance-luxe,grand-red-rose-arrangement,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Trim stems, place in fresh cool water, and refresh daily; peonies open fully in a warm room over one to two days.","New premium piece; peonies are seasonal — when unavailable, full blush garden roses substitute to preserve the look.",experience:deluxe|channel:retail|delivery:same-day|occasion:romance|occasion:anniversary|collection:luxury-bouquet|flower:peony|palette:blush|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of lush blush peonies with blush garden roses and ranunculus, hand-arranged with refined density in a loose romantic dome, softened by silver dollar eucalyptus and trailing jasmine vine, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
pearl-anniversary-white-bouquet,Pearl Anniversary White Bouquet,new,anniversary|love-and-romance|luxury-bouquet,anniversary|romance,Luxury Bouquet,premium,115,140,White roses,White lisianthus|spray roses,Seeded eucalyptus|ruscus,white,Elegant hand-tied dome,Premium kraft and ivory tissue,"Champagne-gold and black satin ribbon, blank",Hand-tied bouquet — no vessel,Classic|Grand|Opulent,Pure white roses and lisianthus for milestone anniversaries.,"Crisp white roses and airy lisianthus come together in a bouquet of quiet, timeless grace — the very picture of a love that has stood the test of years. Its serene, luminous palette honours the milestones worth marking: the pearl anniversary, the vow renewed, the promise kept. Hand-tied in ivory tissue, it arrives same-day in Kingston with all the elegance the moment deserves.",Pearl Anniversary White Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,White roses and lisianthus hand-tied for milestone anniversaries. An elegant premium bouquet with same-day Kingston delivery.,"white rose bouquet, anniversary flowers Kingston, pearl anniversary Jamaica, white lisianthus, milestone anniversary bouquet, same-day flower delivery",Pearl Anniversary White Bouquet — white roses and lisianthus hand-tied in ivory tissue by The New Greenhouse,anniversary | her | celebratory | premium-tier | white | same-day-yes | partner | classic,blush-romance-luxe|everlasting-love-peony-bouquet|golden-anniversary-arrangement,golden-anniversary-arrangement,Same-day delivery across Kingston for orders placed before 1pm; presented in a protective bouquet sleeve.,"Trim stems on arrival, place in fresh cool water, refresh every two days, and keep away from direct sun to protect the white petals.",New premium piece; available year-round.,experience:deluxe|channel:retail|delivery:same-day|occasion:anniversary|occasion:romance|collection:luxury-bouquet|flower:rose|palette:white|style:hand-tied|format:bouquet|tier:premium|recipient:her,"A finished gift-ready premium hand-tied bouquet of pure white roses with white lisianthus and white spray roses, hand-arranged with refined density in an elegant dome, framed by seeded eucalyptus and ruscus, wrapped in premium kraft and ivory tissue, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
golden-anniversary-arrangement,Golden Anniversary Arrangement,new,anniversary|love-and-romance|signature,anniversary,Floral Arrangement,luxury,185,215,Gold and amber roses,Toffee roses|amber ranunculus,Gilded eucalyptus|ruscus,gold,Full luxe rounded arrangement,Presented in vessel — no wrap,"Champagne-gold and black satin ribbon, blank",Champagne-gold footed metal vase,Classic|Grand|Opulent,Gold and amber roses with gilded accents for the golden anniversary.,"Warm gold and amber roses glow against gilded eucalyptus in an arrangement worthy of fifty years — or any love that has turned to gold. Every bloom is chosen for its honeyed richness and set in a champagne-gold vessel that catches the light. It is a celebration made luminous, hand-arranged and delivered same-day in Kingston to crown a truly golden milestone.",Golden Anniversary Arrangement | Luxury Flower Delivery Kingston | The New Greenhouse,Gold and amber roses with gilded accents in a luxe arrangement for golden anniversaries. Same-day Kingston flower delivery.,"golden anniversary flowers, gold rose arrangement Kingston, 50th anniversary flowers Jamaica, amber roses, luxury anniversary gift, same-day flower delivery",Golden Anniversary Arrangement — gold and amber roses with gilded eucalyptus in a champagne-gold vase by The New Greenhouse,anniversary | couple | celebratory | luxury-tier | gold | same-day-yes | partner | opulent,pearl-anniversary-white-bouquet|midnight-elegance|grand-red-rose-arrangement,midnight-elegance,Same-day delivery across Kingston for orders placed before 1pm; hand-delivered in a protective vase box.,"Keep the vase topped with fresh water, trim stems every two days, and display away from direct sun and heat to hold the amber tones.",New luxury piece; gold and amber rose availability is seasonal — toffee and caramel roses may substitute to hold the palette.,experience:deluxe|channel:retail|delivery:same-day|occasion:anniversary|collection:signature|flower:rose|palette:gold|style:arrangement|format:vase|tier:luxury|recipient:couple,"A finished gift-ready premium floral arrangement of gold and amber roses with toffee roses and amber ranunculus, hand-arranged with refined density in a full rounded dome, accented by gilded eucalyptus and ruscus, set in a champagne-gold footed metal vase, tied with a plain smooth champagne-gold and black satin ribbon, completely blank — no text. Eye-level straight-on angle. Centred composition with generous negative space and roughly 10% margin. Soft luxury studio lighting, balanced exposure, gentle highlights. Soft warm ivory-to-pale-taupe seamless studio background with a gentle grounding shadow — no black, no hard shadows. Warm, natural, true-to-life, premium editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no malformed or duplicated petals, no text, no logo, no watermark, no people, no hands."
bridal-white-bouquet,Bridal White Bouquet,existing,Wedding Flowers|Bridal Bouquets,wedding,Luxury Bouquet,luxury,130,145,White garden roses|White ranunculus,White lisianthus|Spray roses,Trailing jasmine vine|Soft ruscus|Dusty miller,White / ivory,"Hand-tied cascading bridal bouquet, refined density",Silk-wrapped stems with pearl-pin finish,"Plain smooth ivory satin ribbon, blank, no text",None — hand-tied presentation,Petite|Classic|Grand,A cascading all-white bridal bouquet of garden roses and ranunculus with trailing greenery.,"Every stem in this bouquet was chosen for the moment you walk toward forever. Garden roses and cloud-soft ranunculus gather into a hand-tied cascade, laced with trailing jasmine that moves as you move. It is timeless, unhurried elegance — the quiet luxury of pure white in your hands. Made to order for your day.",Bridal White Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,"A cascading all-white bridal bouquet of garden roses, ranunculus and trailing greenery. Made-to-order luxury wedding flowers, delivered in Kingston.",bridal bouquet|white wedding bouquet|garden roses|ranunculus bouquet|Kingston wedding flowers|luxury florist Jamaica,Bridal White Bouquet — cascading white garden roses and ranunculus with trailing greenery by The New Greenhouse,wedding|bride|romantic-timeless|luxury-tier|white|advance-booking|spouse|classic-elegant,Bridesmaid Blush Bouquet|Flower Girl Posy,Ceremony Arch Florals|Reception Elevated Centerpiece,Made-to-order wedding piece; advance booking recommended. Consultation and lead-time based — reserve 3–4 weeks ahead. Same-day not available for bridal work.,"Keep stems in water until the ceremony; mist petals lightly and store cool, away from direct sun. Handle by the wrapped stems.",Made-to-order; subject to seasonal availability of garden roses. Booked via wedding consultation.,experience:deluxe|channel:retail|occasion:wedding|collection:bridal-bouquets|flower:rose|flower:ranunculus|palette:white|style:bouquet|format:bouquet|tier:luxury|recipient:couple,"A finished gift-ready bridal bouquet, hand-tied, refined density, of white garden roses and white ranunculus with white lisianthus and trailing jasmine and soft ruscus greenery, silk-wrapped stems finished with a plain smooth ivory satin ribbon, blank, no text; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
bridesmaid-blush-bouquet,Bridesmaid Blush Bouquet,new,Wedding Flowers|Bridal Bouquets,wedding,Luxury Bouquet,premium,105,140,Blush roses|Blush spray roses,Pale pink lisianthus|Blush ranunculus,Silver-dollar eucalyptus|Seeded eucalyptus,Blush,"Hand-tied rounded posy-to-bouquet, soft airy density",Kraft-free silk stem wrap natural finish,"Plain smooth champagne satin ribbon, blank, no text",None — hand-tied presentation,Petite|Classic,A soft blush bouquet of roses and ranunculus veiled in eucalyptus made for your bridal party.,"Designed to walk beside the bride, this bouquet gathers blush roses and ranunculus in a gentle, romantic cloud. Silver eucalyptus threads a cool, fragrant softness through the warm petals. It is the kind of understated beauty that lets the day — and everyone in it — glow. Made to order to match your palette.",Bridesmaid Blush Bouquet | Luxury Flower Delivery Kingston | The New Greenhouse,"A soft blush bouquet of roses, ranunculus and eucalyptus for your bridal party. Made-to-order luxury wedding flowers, delivered in Kingston, Jamaica.",bridesmaid bouquet|blush wedding flowers|eucalyptus bouquet|blush roses|Kingston wedding florist|luxury bridal party flowers,Bridesmaid Blush Bouquet — blush roses and ranunculus with silver eucalyptus by The New Greenhouse,wedding|bridesmaid|romantic-soft|premium-tier|blush|advance-booking|friend|gentle-elegant,Bridal White Bouquet|Flower Girl Posy,Reception Low Centerpiece|Ceremony Aisle Arrangement,Made-to-order wedding piece; advance booking recommended. Ordered by the set through wedding consultation — reserve 3–4 weeks ahead. Same-day not available.,"Keep stems in water until the ceremony; mist lightly and store cool, out of direct sun. Handle by the wrapped stems.",Made-to-order; blush tones matched to your palette. Ordered in sets via consultation.,experience:deluxe|channel:retail|occasion:wedding|flower:rose|palette:blush|style:bouquet|format:bouquet|tier:premium|recipient:couple,"A finished gift-ready bridal bouquet, hand-tied, refined density, of blush roses and blush spray roses with pale pink lisianthus and blush ranunculus veiled in silver-dollar and seeded eucalyptus, silk-wrapped stems finished with a plain smooth champagne satin ribbon, blank, no text; eye-level straight-on, centred, generous negative space, ~10% margin; soft luxury studio lighting, gentle highlights; soft warm ivory-to-pale-taupe seamless studio background, gentle grounding shadow — no black, no hard shadows; warm, natural, true-to-life, editorial grading. Vertical 4:5 crop. Photorealistic high-end florist catalogue quality; botanically accurate; no AI artifacts, no text, no logo, no watermark, no people, no hands."
