Handle,Product Code,Category,Title,Product Type,Shopify Category (planned),Channel,Format,Flower Type,Color Family,Occasion,Customer Type,Season,Care Level,Vase Life,Stem Length,Bloom Size,Unit Type,Minimum Order Qty,Variant Option 1,Variant Option 2,Variant Count,Provisional Prices (USD),PRICE_STATUS,IMAGE_STATUS,Planned Image,Image Alt,Collections,Tags,Delivery Note,Wholesale Note,Availability Note,Care Instructions,Country of Origin,CONFIRMATION_REQUIRED,APPROVAL_STATUS,Status
long-stem-red-roses,TNG-WHL-001,wholesale,Long-Stem Red Roses,Fresh Cut Flowers,,both,bulk-box,rose,red,romance|anniversary|wedding|corporate|everyday,florist|event-planner|hotel|corporate,year-round,easy,7-12 days,50-70cm,"Large head, 5-6cm closed",stem,1 box (100 stems),Pack Size,Stem Length,5,25 Stems/Standard=45.00; 50 Stems/Standard=85.00; 100 Stems/Standard=160.00; 50 Stems/Premium=102.00; 100 Stems/Premium=192.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/long-stem-red-roses-1200x1500.jpg,"Long-Stem Red Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Red|Anniversary|Love and Romance|Corporate Gifting|Bulk Flowers|Wholesale Roses|Florist Essentials,"channel:retail, channel:wholesale, flower:rose, color:red, occasion:romance, occasion:anniversary, occasion:wedding, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold by the box for trade; pack size and grade confirmed at order. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems on an angle, remove lower leaves and thorns as needed, and hydrate in clean water with flower food.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
long-stem-ivory-roses,TNG-WHL-002,wholesale,Long-Stem Ivory Roses,Fresh Cut Flowers,,both,bulk-box,rose,white-ivory,wedding|sympathy|anniversary|corporate|everyday,florist|event-planner|hotel|corporate,year-round,easy,7-12 days,50-70cm,"Large head, 5-6cm closed",stem,1 box (100 stems),Pack Size,Stem Length,5,25 Stems/Standard=45.00; 50 Stems/Standard=85.00; 100 Stems/Standard=160.00; 50 Stems/Premium=102.00; 100 Stems/Premium=192.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/long-stem-ivory-roses-1200x1500.jpg,"Long-Stem Ivory Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|White and Ivory|Anniversary|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Wholesale Roses|Florist Essentials,"channel:retail, channel:wholesale, flower:rose, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Trade boxes with tiered pricing on 25/50/100 stems; grade and count confirmed at order.,Subject to seasonal availability and grower supply.,"Recut stems, remove lower leaves, and hydrate in cool clean water with flower food; peel back any bruised guard petals.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
long-stem-pink-roses,TNG-WHL-003,wholesale,Long-Stem Pink Roses,Fresh Cut Flowers,,both,bulk-box,rose,pink,romance|birthday|new-baby|wedding|everyday,florist|event-planner|hotel|corporate,year-round,easy,7-12 days,50-70cm,"Large head, 5-6cm closed",stem,1 box (100 stems),Pack Size,Stem Length,5,25 Stems/Standard=45.00; 50 Stems/Standard=85.00; 100 Stems/Standard=160.00; 50 Stems/Premium=102.00; 100 Stems/Premium=192.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/long-stem-pink-roses-1200x1500.jpg,"Long-Stem Pink Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Pink|Birthday|Love and Romance|New Baby|Bulk Flowers|Wholesale Roses|Florist Essentials,"channel:retail, channel:wholesale, flower:rose, color:pink, occasion:romance, occasion:birthday, occasion:new-baby, occasion:wedding, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Sold by the box with tiered pricing on 25/50/100 stems; exact count confirmed at order.,Subject to seasonal availability and grower supply.,"Recut stems on an angle, strip lower leaves, and hydrate in clean water with flower food.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
long-stem-yellow-roses,TNG-WHL-004,wholesale,Long-Stem Yellow Roses,Fresh Cut Flowers,,both,bulk-box,rose,yellow-orange,congratulations|graduation|corporate|birthday|everyday,florist|event-planner|hotel|corporate,year-round,easy,7-11 days,50-70cm,"Large head, 5-6cm closed",stem,1 box (100 stems),Pack Size,Stem Length,5,25 Stems/Standard=45.00; 50 Stems/Standard=85.00; 100 Stems/Standard=160.00; 50 Stems/Premium=102.00; 100 Stems/Premium=192.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/long-stem-yellow-roses-1200x1500.jpg,"Long-Stem Yellow Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Yellow and Orange|Birthday|Congratulations|Corporate Gifting|Bulk Flowers|Wholesale Roses|Florist Essentials,"channel:retail, channel:wholesale, flower:rose, color:yellow-orange, occasion:congratulations, occasion:graduation, occasion:corporate, occasion:birthday, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Trade boxes with tiered pricing on 25/50/100 stems; count and grade confirmed at order.,Subject to seasonal availability and grower supply.,"Recut stems, strip lower leaves, and hydrate in clean water with flower food; keep away from direct heat and sun.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
assorted-spray-roses,TNG-WHL-005,wholesale,Assorted Spray Roses,Fresh Cut Flowers,,wholesale,bulk-box,spray-rose,mixed,wedding|romance|birthday|everyday|congratulations,florist|event-planner|hotel,year-round,easy,6-9 days,40-55cm,"Small heads, 2.5-3.5cm, 4-7 per stem",stem,1 box (60 stems),Pack Size,,3,25 Stems=40.00; 50 Stems=75.00; 100 Stems=140.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/assorted-spray-roses-1200x1500.jpg,"Assorted Spray Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|Mixed Color|Birthday|Love and Romance|Congratulations|Bulk Flowers|Wholesale Roses|Florist Essentials,"channel:wholesale, flower:spray-rose, color:mixed, occasion:wedding, occasion:romance, occasion:birthday, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Assorted grower's-choice mix; specify preferred tones at order where possible. Tiered pricing on 25/50/100 stems.,Colour mix subject to seasonal availability and grower supply.,"Recut stems, strip lower foliage, and hydrate with flower food; remove finished blooms to encourage buds to open.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
ivory-garden-roses,TNG-WHL-006,wholesale,Ivory Garden Roses,Fresh Cut Flowers,,both,bulk-box,garden-rose,white-ivory,wedding|anniversary|romance|sympathy,florist|event-planner|hotel,year-round,moderate,4-7 days,40-55cm,"Extra-full head, 6-9cm open",stem,1 box (36 stems),Pack Size,Stem Length,4,25 Stems/Standard=45.00; 50 Stems/Standard=85.00; 50 Stems/Premium=102.00; 100 Stems/Premium=192.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/ivory-garden-roses-1200x1500.jpg,"Ivory Garden Roses — The New Greenhouse, Kingston Jamaica",All Flowers|Roses|White and Ivory|Anniversary|Love and Romance|Sympathy and Funeral|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:garden-rose, color:white-ivory, occasion:wedding, occasion:anniversary, occasion:romance, occasion:sympathy, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Premium bridal flower; pre-order recommended for events. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,Recut stems and hydrate for several hours in cool clean water with flower food before designing; keep cool and handle open heads gently.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
dendrobium-orchid-stems,TNG-WHL-007,wholesale,Dendrobium Orchid Stems,Fresh Cut Flowers,,wholesale,bulk-box,orchid,purple,wedding|corporate|everyday|congratulations,florist|event-planner|hotel|corporate,year-round,moderate,10-16 days,40-60cm,"Florets 3-4cm, 8-14 per spray",stem,1 box (40 stems),Pack Size,,3,25 Stems=70.00; 50 Stems=130.00; 100 Stems=240.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/dendrobium-orchid-stems-1200x1500.jpg,"Dendrobium Orchid Stems — The New Greenhouse, Kingston Jamaica",All Flowers|Orchids|Purple|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:orchid, color:purple, occasion:wedding, occasion:corporate, occasion:everyday, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,"Colour options may include white, purple and bi-tones; specify at order. Tiered pricing on 25/50/100 stems.",Subject to seasonal availability and grower supply.,Recut stems and hydrate in clean water with flower food; keep warm as orchids are cold-sensitive and bruise below 10C.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
cymbidium-orchid-stems,TNG-WHL-008,wholesale,Cymbidium Orchid Stems,Fresh Cut Flowers,,wholesale,bulk-box,orchid,green,wedding|corporate|anniversary|congratulations,florist|event-planner|hotel|corporate,seasonal,moderate,14-21 days,50-70cm,"Large blooms 7-10cm, 6-12 per spray",stem,1 box (20 stems),Pack Size,,3,25 Stems=70.00; 50 Stems=130.00; 100 Stems=240.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/cymbidium-orchid-stems-1200x1500.jpg,"Cymbidium Orchid Stems — The New Greenhouse, Kingston Jamaica",All Flowers|Orchids|Green|Anniversary|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:orchid, color:green, occasion:wedding, occasion:corporate, occasion:anniversary, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:seasonal, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Premium seasonal flower; pre-order recommended for events. Available by full spray or individual blooms. Tiered pricing on 25/50/100 stems.,Peak availability is cooler months; subject to seasonal grower supply.,Recut stems and hydrate in clean water; keep cool but above 8C and mist individual blooms used in corsage or boutonniere work.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
phalaenopsis-orchid-stems,TNG-WHL-009,wholesale,Phalaenopsis Orchid Stems,Fresh Cut Flowers,,wholesale,bulk-box,orchid,white-ivory,wedding|corporate|anniversary|congratulations,florist|event-planner|hotel,year-round,advanced,10-18 days,40-60cm,"Broad blooms 6-9cm, 5-9 per spray",stem,1 box (16 stems),Pack Size,,3,25 Stems=70.00; 50 Stems=130.00; 100 Stems=240.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/phalaenopsis-orchid-stems-1200x1500.jpg,"Phalaenopsis Orchid Stems — The New Greenhouse, Kingston Jamaica",All Flowers|Orchids|White and Ivory|Anniversary|Congratulations|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:wholesale, flower:orchid, color:white-ivory, occasion:wedding, occasion:corporate, occasion:anniversary, occasion:congratulations, customer:florist, customer:event-planner, customer:hotel, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Delicate premium flower; pre-order recommended and handle with care. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,"Recut stems and hydrate in clean water; keep warm, away from draughts, and mist blooms lightly. Best designed close to the event.",[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
oriental-lilies-white,TNG-WHL-010,wholesale,Oriental Lilies (White),Fresh Cut Flowers,,both,bulk-box,lily,white-ivory,sympathy|wedding|anniversary|corporate|everyday,florist|event-planner|hotel|corporate,year-round,easy,8-12 days,70-90cm,"Open blooms 15-20cm, 3-6 buds per stem",stem,1 box (40 stems),Pack Size,,3,25 Stems=55.00; 50 Stems=100.00; 100 Stems=185.00,REPLACE_BEFORE_PUBLISHING,REQUIRED,products/oriental-lilies-white-1200x1500.jpg,"Oriental Lilies (White) — The New Greenhouse, Kingston Jamaica",All Flowers|Lilies|White and Ivory|Anniversary|Sympathy and Funeral|Corporate Gifting|Bulk Flowers|Florist Essentials,"channel:retail, channel:wholesale, flower:lily, color:white-ivory, occasion:sympathy, occasion:wedding, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",Same-day delivery may be available across Kingston & St. Andrew for orders placed before 2PM.,Shipped in bud for longer working life; order 3-5 days ahead for events. Tiered pricing on 25/50/100 stems.,Subject to seasonal availability and grower supply.,Recut stems and hydrate with flower food; snip out anthers once buds open to prevent pollen staining petals and linens.,[CLIENT CONFIRMATION REQUIRED],exact pack size|country of origin,DRAFT_PENDING_REVIEW,draft
