shopify_product_id,handle,title,current_experience,proposed_experience,classification_reason,confidence,approved,notes
gid://shopify/Product/8553868492979,alstroemeria-purple,Amethyst Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553434415283,anniversary-luxe-arrangement,Anniversary Luxe Arrangement,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:arrangement) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434382515,anniversary-rose-bouquet,Anniversary Rose Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553433923763,anthurium-stems,Anthurium Stems,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433694387,antique-blue-hydrangeas,Antique Blue Hydrangeas,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433596083,asiatic-lilies-mixed,Asiatic Lilies (Mixed),,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433399475,assorted-spray-roses,Assorted Spray Roses,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,no-image|placeholder-price
gid://shopify/Product/8553434185907,babys-breath-gypsophila,Baby's Breath (Gypsophila),,classic,"Wholesale/professional greenery/filler (type ""Floral Filler"", format:bunch)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553435791539,belgian-chocolates-add-on,Belgian Chocolates Add-on,,both,"Finished gift (type ""Gift Add-on"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553434022067,bird-of-paradise,Bird of Paradise,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553432842419,birthday-brights-bouquet,Birthday Brights Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553868591283,alstroemeria-pink,Blush Alstroemeria Bunch,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Flowers"")",high,false,
gid://shopify/Product/8553434480819,blush-romance-bouquet,Blush Romance Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435660467,bouquet-presentation-boxes,Bouquet Presentation Boxes,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553435136179,bridal-bouquet-cascading-blush,Bridal Bouquet — Cascading Blush,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,in-wedding-collection|no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553435103411,bridal-bouquet-ivory-garden,Bridal Bouquet — Ivory Garden,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,in-wedding-collection|no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553435168947,bridesmaid-bouquet,Bridesmaid Bouquet,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,in-wedding-collection|no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553435431091,bud-vase-set,Bud Vase Set,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
gid://shopify/Product/8553433825459,button-pompon-chrysanthemums,Button Pompon Chrysanthemums,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433628851,calla-lilies-ivory,Calla Lilies (Ivory),,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434939571,casket-spray-full-ivory,Casket Spray — Full Ivory,,both,"Finished arrangement (type ""Sympathy Arrangement"") tagged channel:both — genuinely retail-gift and wholesale-suitable",medium,false,no-image|placeholder-price
gid://shopify/Product/8553435267251,ceremony-aisle-arch-arrangement,Ceremony Aisle & Arch Arrangement,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553434349747,classic-birthday-blooms,Classic Birthday Blooms,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434513587,congratulations-bright-bouquet,Congratulations Bright Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553434546355,congratulations-elegant-arrangement,Congratulations Elegant Arrangement,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:arrangement) — premium retail gifting",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433497779,cymbidium-orchid-stems,Cymbidium Orchid Stems,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553433465011,dendrobium-orchid-stems,Dendrobium Orchid Stems,,classic,"Wholesale/professional bulk/wholesale stems (type ""Fresh Cut Flowers"", format:bulk-box)",high,false,in-corporate-collection|no-image|placeholder-price
gid://shopify/Product/8553434710195,designers-choice-bouquet,Designer's Choice Bouquet,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435234483,elevated-reception-centerpiece,Elevated Reception Centerpiece,,needs-review,"Wedding product (type ""Wedding Flowers"") — Weddings are excluded from active scope",high,false,in-wedding-collection|no-image|placeholder-price|wedding-scope-excluded
gid://shopify/Product/8553434775731,everyday-ivory-elegance,Everyday Ivory Elegance,,deluxe,"Finished arrangement (type ""Floral Arrangement"", format:bouquet) — premium retail gifting",high,false,no-image|placeholder-price
gid://shopify/Product/8553435594931,floral-stem-tape,Floral Stem Tape,,classic,"Wholesale/professional floral supply (type ""Floral Supply"", format:supply)",high,false,no-image|placeholder-price
