handle,title,sku,status,family,self_image,self_buyable,match_handle,match_title,match_sku,match_basis,match_complete,relationship,recommendation,reason,phase2a_result
football-disbud-chrysanthemums,Football Disbud Chrysanthemums,TNG-WHL-016-P25,ACTIVE,chrysanthemum,n,n,chrysanthemums-bronze,Bronze Chrysanthemums,CHR-BRO,"same family, different variety",y,genuinely different (distinct variety),complete,"No same-variety twin — Football Disbud Chrysanthemums is a distinct chrysanthemum variety not in the library (nearest is chrysanthemums-bronze, a different variety). Needs image + availability like Group B.",COMPLETED: generated image chrysanthemums/football-disbud + untracked + published
spider-chrysanthemums,Spider Chrysanthemums,TNG-WHL-017-P25,ACTIVE,chrysanthemum,n,n,chrysanthemums-bronze,Bronze Chrysanthemums,CHR-BRO,"same family, different variety",y,genuinely different (distinct variety),complete,"No same-variety twin — Spider Chrysanthemums is a distinct chrysanthemum variety not in the library (nearest is chrysanthemums-bronze, a different variety). Needs image + availability like Group B.",COMPLETED: generated image chrysanthemums/spider + untracked + published
button-pompon-chrysanthemums,Button Pompon Chrysanthemums,TNG-WHL-018-P25,ACTIVE,chrysanthemum,n,n,chrysanthemums-bronze,Bronze Chrysanthemums,CHR-BRO,"same family, different variety",y,genuinely different (distinct variety),complete,"No same-variety twin — Button Pompon Chrysanthemums is a distinct chrysanthemum variety not in the library (nearest is chrysanthemums-bronze, a different variety). Needs image + availability like Group B.",COMPLETED: generated image chrysanthemums/button-pompon + untracked + published
anthurium-stems,Anthurium Stems,TNG-WHL-021-P25-STD,ACTIVE,tropical,n,n,tropicals-anthurium-pink,Pink Anthurium,TRO-PIN,shared variety: anthurium,y,exact/near duplicate,retire,Same variety already live as tropicals-anthurium-pink (complete) → retire + redirect.,COMPLETED: generated image tropicals/anthurium-assorted + untracked + published
heliconia,Heliconia,TNG-WHL-022-P25,ACTIVE,tropical,n,n,tropicals-heliconia,Heliconia,TRO-HEL,identical title,y,exact duplicate,retire,"Identical-title twin tropicals-heliconia is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→tropicals-heliconia
torch-ginger,Torch Ginger,TNG-WHL-023-P25,ACTIVE,tropical,n,n,tropicals-ginger,Ginger,TRO-GIN,shared variety: ginger,y,exact/near duplicate,retire,Same variety already live as tropicals-ginger (complete) → retire + redirect.,COMPLETED: generated image tropicals/torch-ginger + untracked + published
bird-of-paradise,Bird of Paradise,TNG-WHL-024-P25,ACTIVE,tropical,n,n,tropicals-bird-of-paradise,Bird of Paradise,TRO-BIR,identical title,y,exact duplicate,retire,"Identical-title twin tropicals-bird-of-paradise is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→tropicals-bird-of-paradise
seeded-eucalyptus,Seeded Eucalyptus,TNG-WHL-025-P25,ACTIVE,eucalyptus,n,n,eucalyptus-seeded,Seeded Eucalyptus,EUC-SEE,identical title,y,exact duplicate,retire,"Identical-title twin eucalyptus-seeded is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→eucalyptus-seeded
silver-dollar-eucalyptus,Silver Dollar Eucalyptus,TNG-WHL-026-P25,ACTIVE,eucalyptus,n,n,eucalyptus-silver-dollar,Silver Dollar Eucalyptus,EUC-SIL,identical title,y,exact duplicate,retire,"Identical-title twin eucalyptus-silver-dollar is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→eucalyptus-silver-dollar
israeli-ruscus,Israeli Ruscus,TNG-WHL-027-P25,ACTIVE,greenery,n,n,greenery-ruscus,Italian Ruscus,GRE-ITA,shared variety: ruscus,y,exact/near duplicate,retire,Same variety already live as greenery-ruscus (complete) → retire + redirect.,COMPLETED: generated image greenery/israeli-ruscus + untracked + published
palm-leather-leaf,Palm & Leather Leaf,TNG-WHL-028-P25,ACTIVE,greenery,n,n,greenery-bear-grass,Bear Grass,GRE-BEA,"same family, different variety",y,genuinely different (distinct variety),complete,"No same-variety twin — Palm & Leather Leaf is a distinct greenery variety not in the library (nearest is greenery-bear-grass, a different variety). Needs image + availability like Group B.",COMPLETED: local image greenery/leatherleaf-fern + untracked + published
wax-flower,Wax Flower,TNG-WHL-030-P25,ACTIVE,filler,n,n,fillers-wax-flower-pink,Wax Flower,FIL-WAX,identical title,y,exact duplicate,retire,"Identical-title twin fillers-wax-flower-pink is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→fillers-wax-flower-pink
statice,Statice,TNG-WHL-031-P25,ACTIVE,filler,n,n,fillers-statice-purple,Statice,FIL-STA,identical title,y,exact duplicate,retire,"Identical-title twin fillers-statice-purple is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→fillers-statice-purple
solidago,Solidago,TNG-WHL-032-P25,ACTIVE,filler,n,n,fillers-solidago,Solidago,FIL-SOL,identical title,y,exact duplicate,retire,"Identical-title twin fillers-solidago is ACTIVE+imaged+buyable → retire this legacy stem, redirect to it.",RETIRED: DRAFT+unpublished+redirect→fillers-solidago
