Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
long-stem-red-roses,Long-Stem Red Roses,"<p>Deep velvet-red long-stem roses graded for premium floristry and event work. Firm, tight heads open slowly to full cupped blooms, giving designers a dependable base for bouquets, arrangements and large installations.</p><p>Boxed straight from the grower with heads protected and stems bunched for easy processing. Ideal for florists, event planners and hotels needing consistent volume for weddings and corporate flowers in Kingston.</p><ul><li><strong>Stem length:</strong> 50-70cm</li><li><strong>Bloom size:</strong> Large head, 5-6cm closed</li><li><strong>Vase life:</strong> 7-12 days conditioned</li><li><strong>Conditioning:</strong> Cut 2cm on an angle, strip lower foliage, hydrate in clean water with flower food.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:rose, color:red, occasion:romance, occasion:anniversary, occasion:wedding, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,Stem Length,Standard,,,TNG-WHL-001-P25-STD,3200,shopify,0,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Long-Stem Red Roses | Wholesale Flowers Jamaica,"Buy long-stem red roses in bulk boxes for florists and events. Wholesale flowers Kingston Jamaica, graded for weddings and corporate work.",draft
long-stem-red-roses,,,,,,,FALSE,,50 Stems,,Standard,,,TNG-WHL-001-P50-STD,3200,shopify,0,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-red-roses,,,,,,,FALSE,,100 Stems,,Standard,,,TNG-WHL-001-P100-STD,3200,shopify,0,deny,manual,160.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-red-roses,,,,,,,FALSE,,50 Stems,,Premium,,,TNG-WHL-001-P50-PRM,3200,shopify,0,deny,manual,102.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-red-roses,,,,,,,FALSE,,100 Stems,,Premium,,,TNG-WHL-001-P100-PRM,3200,shopify,0,deny,manual,192.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-ivory-roses,Long-Stem Ivory Roses,"<p>Long-stem roses in a clean ivory-cream tone that reads soft white under most lighting. A designer favourite for bridal bouquets, sympathy tributes and refined corporate installations where a neutral base is essential.</p><p>Graded for uniform head size and delivered boxed with foliage intact for easy processing. Dependable volume for florists, planners and hotels working weddings and events in Kingston and beyond.</p><ul><li><strong>Stem length:</strong> 50-70cm</li><li><strong>Bloom size:</strong> Large head, 5-6cm closed</li><li><strong>Vase life:</strong> 7-12 days conditioned</li><li><strong>Conditioning:</strong> Angle-cut, strip lower foliage, hydrate in cool clean water with flower food; guard petals may be removed for a whiter finish.</li></ul>",The New Greenhouse,,Fresh Cut Flowers,"channel:retail, channel:wholesale, flower:rose, color:white-ivory, occasion:wedding, occasion:sympathy, occasion:anniversary, occasion:corporate, occasion:everyday, customer:florist, customer:event-planner, customer:hotel, customer:corporate, format:bulk-box, season:year-round, type:fresh-cut-flowers, price-status:placeholder, image-status:required, content-status:reviewed",FALSE,Pack Size,25 Stems,Stem Length,Standard,,,TNG-WHL-002-P25-STD,3200,shopify,0,deny,manual,45.00,,TRUE,TRUE,,,,,FALSE,Long-Stem Ivory Roses | Wholesale Bridal Flowers,Ivory long-stem roses in bulk boxes for bridal and sympathy work. Wedding flowers Kingston and wholesale flowers Jamaica for the trade.,draft
long-stem-ivory-roses,,,,,,,FALSE,,50 Stems,,Standard,,,TNG-WHL-002-P50-STD,3200,shopify,0,deny,manual,85.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-ivory-roses,,,,,,,FALSE,,100 Stems,,Standard,,,TNG-WHL-002-P100-STD,3200,shopify,0,deny,manual,160.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-ivory-roses,,,,,,,FALSE,,50 Stems,,Premium,,,TNG-WHL-002-P50-PRM,3200,shopify,0,deny,manual,102.00,,TRUE,TRUE,,,,,FALSE,,,draft
long-stem-ivory-roses,,,,,,,FALSE,,100 Stems,,Premium,,,TNG-WHL-002-P100-PRM,3200,shopify,0,deny,manual,192.00,,TRUE,TRUE,,,,,FALSE,,,draft
