Handle,Title,Filename,Type,Orientation,Dimensions,Aspect Ratio,Alt Text,Photography Direction,Generation Prompt,Status
long-stem-red-roses,Long-Stem Red Roses,products/long-stem-red-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Long-Stem Red Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of long-stem red roses for a luxury florist catalog. Classic long-stem red roses by the box for florists, weddings and corporate work across Jamaica. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
long-stem-ivory-roses,Long-Stem Ivory Roses,products/long-stem-ivory-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Long-Stem Ivory Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of long-stem ivory roses for a luxury florist catalog. Soft ivory-white long-stem roses in bulk, ideal for bridal work and elegant event florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
long-stem-pink-roses,Long-Stem Pink Roses,products/long-stem-pink-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Long-Stem Pink Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of long-stem pink roses for a luxury florist catalog. Long-stem pink roses in bulk for florists, showers and celebration florals across Kingston. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
long-stem-yellow-roses,Long-Stem Yellow Roses,products/long-stem-yellow-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Long-Stem Yellow Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of long-stem yellow roses for a luxury florist catalog. Bright long-stem yellow roses in bulk for congratulations, friendship and corporate florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
assorted-spray-roses,Assorted Spray Roses,products/assorted-spray-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Assorted Spray Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of assorted spray roses for a luxury florist catalog. Multi-head spray roses in mixed tones, sold by the box for texture and filler in event work. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
ivory-garden-roses,Ivory Garden Roses,products/ivory-garden-roses-1200x1500.jpg,product,portrait,1200x1500,4:5,"Ivory Garden Roses — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of ivory garden roses for a luxury florist catalog. Full, ruffled ivory garden roses in bulk for luxury bridal and editorial floral design. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
dendrobium-orchid-stems,Dendrobium Orchid Stems,products/dendrobium-orchid-stems-1200x1500.jpg,product,portrait,1200x1500,4:5,"Dendrobium Orchid Stems — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of dendrobium orchid stems for a luxury florist catalog. Long sprays of dendrobium orchids for tropical event work, hotels and corporate installations. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
cymbidium-orchid-stems,Cymbidium Orchid Stems,products/cymbidium-orchid-stems-1200x1500.jpg,product,portrait,1200x1500,4:5,"Cymbidium Orchid Stems — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of cymbidium orchid stems for a luxury florist catalog. Large-faced cymbidium orchid stems for premium bridal, corsage and luxury event florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
phalaenopsis-orchid-stems,Phalaenopsis Orchid Stems,products/phalaenopsis-orchid-stems-1200x1500.jpg,product,portrait,1200x1500,4:5,"Phalaenopsis Orchid Stems — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of phalaenopsis orchid stems for a luxury florist catalog. Elegant cut phalaenopsis orchid sprays for high-end bridal and contemporary event design. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
oriental-lilies-white,Oriental Lilies (White),products/oriental-lilies-white-1200x1500.jpg,product,portrait,1200x1500,4:5,"Oriental Lilies (White) — The New Greenhouse, Kingston Jamaica",Single hero on warm-ivory or controlled charcoal seamless; premium studio softbox light; accurate botanical texture; natural proportions; black & champagne-gold packaging accents where relevant; no text/logos in image.,"Studio product photograph of oriental lilies (white) for a luxury florist catalog. Fragrant white oriental lilies in bulk for sympathy, bridal and large-scale event florals. Warm ivory seamless background (or controlled charcoal for dramatic items), soft premium studio lighting, realistic floral texture and true-to-life color, centered with generous negative space for a 4:5 portrait crop, subtle champagne-gold and black accents. Catalog-clean, editorial, photorealistic. No text, no logo, no watermark.",REQUIRED
