asset_id,experience,flower_type,color,arrangement_type,product_handle,collection_handle,placement,aspect_ratio,target_width,target_height,filename,prompt,negative_prompt,source_reference,generation_status,review_status,approved,notes
classic-alstroemeria-purple-wholesale-bunch-card-4x5,classic,alstroemeria,purple,bunch,,bulk-flowers,card,4:5,1200,1500,classic-alstroemeria-purple-wholesale-bunch-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale bunch of purple alstroemeria, true purple colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",source-images/flowers/alstroemeria/purple.png,pending,pending,false,source ref for realism only; do not copy composition
classic-alstroemeria-pink-wholesale-bunch-card-4x5,classic,alstroemeria,pink,bunch,,bulk-flowers,card,4:5,1200,1500,classic-alstroemeria-pink-wholesale-bunch-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale bunch of pink alstroemeria, true pink colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",source-images/flowers/alstroemeria/pink.png,pending,pending,false,source ref for realism only; do not copy composition
deluxe-alstroemeria-purple-signature-bouquet-card-4x5,deluxe,alstroemeria,purple,signature bouquet,,luxury-bouquets,card,4:5,1200,1500,deluxe-alstroemeria-purple-signature-bouquet-card-4x5.webp,"Photorealistic premium editorial floral photography. A finished luxury arrangement with refined bouquet density and elegant wrapping, finished with a plain champagne-gold and black satin ribbon — the ribbon is smooth and blank with absolutely no text, lettering, words, or writing on it. Matte black, warm ivory or refined neutral background with controlled champagne-gold accents and realistic premium lighting. Editorial gifting composition with generous negative space. Natural and true-to-life — not CGI, no artificial glow. Subject: a finished luxury signature bouquet of purple alstroemeria for premium gifting, refined and hand-tied. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",source-images/flowers/alstroemeria/purple.png,pending,pending,false,source ref for realism only; do not copy composition
deluxe-alstroemeria-pink-signature-hero-16x9,deluxe,alstroemeria,pink,signature arrangement,,luxury-bouquets,hero,16:9,1920,1080,deluxe-alstroemeria-pink-signature-hero-16x9.webp,"Photorealistic premium editorial floral photography. A finished luxury arrangement with refined bouquet density and elegant wrapping, finished with a plain champagne-gold and black satin ribbon — the ribbon is smooth and blank with absolutely no text, lettering, words, or writing on it. Matte black, warm ivory or refined neutral background with controlled champagne-gold accents and realistic premium lighting. Editorial gifting composition with generous negative space. Natural and true-to-life — not CGI, no artificial glow. Subject: a finished luxury signature arrangement of pink alstroemeria for premium gifting, refined and hand-tied. Wide 16:9 cinematic composition, subject off-centre with clear negative space for text overlay. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",source-images/flowers/alstroemeria/pink.png,pending,pending,false,source ref for realism only; do not copy composition
classic-roses-red-wholesale-box-card-4x5,classic,roses,red,box,,wholesale-roses,card,4:5,1200,1500,classic-roses-red-wholesale-box-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale box of red roses, true red colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
classic-roses-ivory-wholesale-box-card-4x5,classic,roses,ivory,box,,wholesale-roses,card,4:5,1200,1500,classic-roses-ivory-wholesale-box-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale box of ivory roses, true ivory colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
deluxe-roses-red-signature-bouquet-card-4x5,deluxe,roses,red,signature bouquet,,roses,card,4:5,1200,1500,deluxe-roses-red-signature-bouquet-card-4x5.webp,"Photorealistic premium editorial floral photography. A finished luxury arrangement with refined bouquet density and elegant wrapping, finished with a plain champagne-gold and black satin ribbon — the ribbon is smooth and blank with absolutely no text, lettering, words, or writing on it. Matte black, warm ivory or refined neutral background with controlled champagne-gold accents and realistic premium lighting. Editorial gifting composition with generous negative space. Natural and true-to-life — not CGI, no artificial glow. Subject: a finished luxury signature bouquet of red roses for premium gifting, refined and hand-tied. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
deluxe-roses-red-signature-hero-16x9,deluxe,roses,red,signature arrangement,,roses,hero,16:9,1920,1080,deluxe-roses-red-signature-hero-16x9.webp,"Photorealistic premium editorial floral photography. A finished luxury arrangement with refined bouquet density and elegant wrapping, finished with a plain champagne-gold and black satin ribbon — the ribbon is smooth and blank with absolutely no text, lettering, words, or writing on it. Matte black, warm ivory or refined neutral background with controlled champagne-gold accents and realistic premium lighting. Editorial gifting composition with generous negative space. Natural and true-to-life — not CGI, no artificial glow. Subject: a finished luxury signature arrangement of red roses for premium gifting, refined and hand-tied. Wide 16:9 cinematic composition, subject off-centre with clear negative space for text overlay. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
classic-orchids-white-wholesale-stems-card-4x5,classic,orchids,white,stems,,bulk-flowers,card,4:5,1200,1500,classic-orchids-white-wholesale-stems-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale stems of white orchids, true white colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
classic-orchids-purple-wholesale-stems-card-4x5,classic,orchids,purple,stems,,bulk-flowers,card,4:5,1200,1500,classic-orchids-purple-wholesale-stems-card-4x5.webp,"Photorealistic commercial catalog product photography. Accurate flower morphology and true-to-life natural colour, visible fresh stems, soft natural shadows, clean bright white or warm-neutral studio seamless background, even soft studio lighting. Catalog-clear and sharp so the flower type is immediately identifiable. Practical wholesale presentation; neat commercial wrapping only where necessary; no luxury props, no excessive styling. Subject: a wholesale stems of purple orchids, true purple colour, fresh graded stems, presented for florist and trade buyers. Vertical 4:5 composition, subject centred with comfortable headroom, no cropped focal point. No text, no logo, no watermark.","text, typography, letters, numbers, watermark, signature, logo, brand mark, gibberish, extra flowers, duplicated stems, malformed or fused petals, wilted or brown flowers, plastic or fake look, CGI, 3d render, oversaturated, blurry, low resolution, noise, hands, people, vase (unless specified), cluttered background, competitor packaging, harsh glare",,pending,pending,false,no approved source reference yet
