title,handle,product_id,status,publication_status,collections,category,tags,product_type,vendor,description_status,image_count,has_featured_image,variant_count,variant_titles,price,compare_at_price,sku,inventory_tracked,inventory_qty,inventory_policy,purchasable,sold_out_reason,possible_duplicate,matching_local_image,missing_info,classification,recommended_action,reason,phase1_result
Long-Stem Red Roses,long-stem-red-roses,8553432809651,ACTIVE,New Greenhouse Luxury Storefront,frontpage|all-flowers|roses|red|anniversary|love-and-romance|corporate-gifting|bulk-flowers|wholesale-roses|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:red|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:rose|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:everyday|occasion:romance|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,5,25 Stems / Standard|50 Stems / Standard|100 Stems / Standard|50 Stems / Premium|100 Stems / Premium,45.00,,TNG-WHL-001-P25-STD|TNG-WHL-001-P50-STD|TNG-WHL-001-P100-STD|TNG-WHL-001-P50-PRM|TNG-WHL-001-P100-PRM,yes,0|0|0|0|0,DENY,no,qty 0/policy DENY/tracked,roses-in-stock-red (high),likely match: flowers/roses-in-stock/red (confirm),image,D,Delete (duplicate/obsolete),Duplicate of roses-in-stock-red (same roses-in-stock/red exists complete),DONE: set DRAFT + unpublished + redirect→roses-in-stock-red
Wet Floral Foam Bricks,wet-floral-foam-bricks,8553432875187,ACTIVE,New Greenhouse Luxury Storefront,green-flowers|bulk-flowers|florist-essentials|floral-supplies,Floral Supply,channel:retail|channel:wholesale|color:green|content-status:reviewed|customer:event-planner|customer:florist|customer:retail-shopper|format:supply|image-status:required|price-status:placeholder|season:year-round|supply:foam|type:floral-supply,Floral Supply,The New Greenhouse,present,0,no,3,6|12|24,21.00,,TNG-SUP-001-Q6|TNG-SUP-001-Q12|TNG-SUP-001-Q24,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (supply),image,C,Keep hidden/draft,supply — not a flower bunch; needs real product photo + business info before selling,
Peace Lily Plant,peace-lily-plant,8553432907955,ACTIVE,New Greenhouse Luxury Storefront,white-and-ivory|green-flowers|sympathy-and-funeral|get-well|corporate-gifting|bulk-flowers|corporate-gifts,Plant,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|format:plant|image-status:required|occasion:corporate|occasion:get-well|occasion:sympathy|price-status:placeholder|season:year-round|type:plant,Plant,The New Greenhouse,present,0,no,3,Small|Medium|Large,45.00,,TNG-PLT-001-SM|TNG-PLT-001-MD|TNG-PLT-001-LG,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,not-suitable (plant),image,C,Keep hidden/draft,plant — not a flower bunch; needs real product photo + business info before selling,
Standing Spray — Classic White,standing-spray-classic-white,8553432973491,ACTIVE,New Greenhouse Luxury Storefront,lilies|white-and-ivory|green-flowers|sympathy-and-funeral|bulk-flowers,Sympathy Arrangement,channel:retail|channel:wholesale|color:green|color:white-ivory|content-status:reviewed|customer:corporate|customer:retail-shopper|flower:lily|format:standing-spray|image-status:required|occasion:sympathy|price-status:placeholder|season:year-round|type:sympathy-arrangement,Sympathy Arrangement,The New Greenhouse,present,0,no,1,Default Title,240.00,,TNG-SYM-001,yes,0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Long-Stem Ivory Roses,long-stem-ivory-roses,8553433301171,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|roses|white-and-ivory|anniversary|sympathy-and-funeral|corporate-gifting|bulk-flowers|wholesale-roses|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:rose|format:bulk-box|image-status:required|occasion:anniversary|occasion:corporate|occasion:everyday|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,5,25 Stems / Standard|50 Stems / Standard|100 Stems / Standard|50 Stems / Premium|100 Stems / Premium,45.00,,TNG-WHL-002-P25-STD|TNG-WHL-002-P50-STD|TNG-WHL-002-P100-STD|TNG-WHL-002-P50-PRM|TNG-WHL-002-P100-PRM,yes,0|0|0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/roses-in-stock/all (confirm),image,B,Complete after image + availability fix,"Valid roses-in-stock stem/bunch; likely match: flowers/roses-in-stock/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Long-Stem Pink Roses,long-stem-pink-roses,8553433333939,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|roses|pink|birthday|love-and-romance|new-baby|bulk-flowers|wholesale-roses|florist-essentials,Fresh Cut Flowers,channel:retail|channel:wholesale|color:pink|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:rose|format:bulk-box|image-status:required|occasion:birthday|occasion:everyday|occasion:new-baby|occasion:romance|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,5,25 Stems / Standard|50 Stems / Standard|100 Stems / Standard|50 Stems / Premium|100 Stems / Premium,45.00,,TNG-WHL-003-P25-STD|TNG-WHL-003-P50-STD|TNG-WHL-003-P100-STD|TNG-WHL-003-P50-PRM|TNG-WHL-003-P100-PRM,yes,0|0|0|0|0,DENY,no,qty 0/policy DENY/tracked,roses-in-stock-pink (high),likely match: flowers/roses-in-stock/pink (confirm),image,D,Delete (duplicate/obsolete),Duplicate of roses-in-stock-pink (same roses-in-stock/pink exists complete),DONE: set DRAFT + unpublished + redirect→roses-in-stock-pink
Long-Stem Yellow Roses,long-stem-yellow-roses,8553433366707,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|roses|yellow-and-orange|birthday|congratulations|corporate-gifting|bulk-flowers|wholesale-roses|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:retail|channel:wholesale|color:yellow-orange|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:rose|format:bulk-box|image-status:required|occasion:birthday|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:graduation|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,5,25 Stems / Standard|50 Stems / Standard|100 Stems / Standard|50 Stems / Premium|100 Stems / Premium,45.00,,TNG-WHL-004-P25-STD|TNG-WHL-004-P50-STD|TNG-WHL-004-P100-STD|TNG-WHL-004-P50-PRM|TNG-WHL-004-P100-PRM,yes,0|0|0|0|0,DENY,no,qty 0/policy DENY/tracked,roses-in-stock-yellow (high),likely match: flowers/roses-in-stock/yellow (confirm),image,D,Delete (duplicate/obsolete),Duplicate of roses-in-stock-yellow (same roses-in-stock/yellow exists complete),DONE: set DRAFT + unpublished + redirect→roses-in-stock-yellow
Assorted Spray Roses,assorted-spray-roses,8553433399475,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|roses|mixed-color|birthday|love-and-romance|congratulations|bulk-flowers|florist-essentials,Fresh Cut Flowers,channel:wholesale|color:mixed|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:spray-rose|format:bulk-box|image-status:required|occasion:birthday|occasion:congratulations|occasion:everyday|occasion:romance|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,40.00,,TNG-WHL-005-P25|TNG-WHL-005-P50|TNG-WHL-005-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,"not-suitable (arrangement — needs styled photo, not bunch)",image,E,Manual review,Sympathy/finished arrangement — cannot standardise; needs manual pricing/photo decision,
Ivory Garden Roses,ivory-garden-roses,8553433432243,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|roses|white-and-ivory|anniversary|love-and-romance|sympathy-and-funeral|bulk-flowers|florist-essentials,Fresh Cut Flowers,channel:retail|channel:wholesale|color:white-ivory|content-status:reviewed|customer:event-planner|customer:florist|customer:hotel|flower:garden-rose|format:bulk-box|image-status:required|occasion:anniversary|occasion:romance|occasion:sympathy|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,4,25 Stems / Standard|50 Stems / Standard|50 Stems / Premium|100 Stems / Premium,45.00,,TNG-WHL-006-P25-STD|TNG-WHL-006-P50-STD|TNG-WHL-006-P50-PRM|TNG-WHL-006-P100-PRM,yes,0|0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/roses-in-stock/all (confirm),image,B,Complete after image + availability fix,"Valid roses-in-stock stem/bunch; likely match: flowers/roses-in-stock/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
Dendrobium Orchid Stems,dendrobium-orchid-stems,8553433465011,ACTIVE,New Greenhouse Luxury Storefront,all-flowers|orchids|purple|congratulations|corporate-gifting|bulk-flowers|florist-essentials|corporate-gifts,Fresh Cut Flowers,channel:wholesale|color:purple|content-status:reviewed|customer:corporate|customer:event-planner|customer:florist|customer:hotel|flower:orchid|format:bulk-box|image-status:required|occasion:congratulations|occasion:corporate|occasion:everyday|occasion:wedding|price-status:placeholder|season:year-round|type:fresh-cut-flowers,Fresh Cut Flowers,The New Greenhouse,present,0,no,3,25 Stems|50 Stems|100 Stems,70.00,,TNG-WHL-007-P25|TNG-WHL-007-P50|TNG-WHL-007-P100,yes,0|0|0,DENY,no,qty 0/policy DENY/tracked,,likely match: flowers/orchids/all (confirm),image,B,Complete after image + availability fix,"Valid orchids stem/bunch; likely match: flowers/orchids/all (confirm); + inventory/availability fix (qty 0, policy DENY)",DONE: image added + untracked(CONTINUE) + published; purchasable
