handle,title,classification,recommended_action,approved_action,approved_for_image_generation,approved_for_inventory_change,approved_for_publication_change,reviewer_notes
long-stem-red-roses,Long-Stem Red Roses,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→roses-in-stock-red
wet-floral-foam-bricks,Wet Floral Foam Bricks,C,Keep hidden/draft,,false,false,false,
peace-lily-plant,Peace Lily Plant,C,Keep hidden/draft,,false,false,false,
standing-spray-classic-white,Standing Spray — Classic White,E,Manual review,,false,false,false,
long-stem-ivory-roses,Long-Stem Ivory Roses,B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
long-stem-pink-roses,Long-Stem Pink Roses,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→roses-in-stock-pink
long-stem-yellow-roses,Long-Stem Yellow Roses,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→roses-in-stock-yellow
assorted-spray-roses,Assorted Spray Roses,E,Manual review,,false,false,false,
ivory-garden-roses,Ivory Garden Roses,B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
dendrobium-orchid-stems,Dendrobium Orchid Stems,B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
cymbidium-orchid-stems,Cymbidium Orchid Stems,B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
phalaenopsis-orchid-stems,Phalaenopsis Orchid Stems,B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
oriental-lilies-white,Oriental Lilies (White),D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→lilies-white
asiatic-lilies-mixed,Asiatic Lilies (Mixed),B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
calla-lilies-ivory,Calla Lilies (Ivory),B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
white-hydrangeas,White Hydrangeas,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→hydrangea-white
antique-blue-hydrangeas,Antique Blue Hydrangeas,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→hydrangea-blue
pink-hydrangeas,Pink Hydrangeas,D,Delete (duplicate/obsolete),retire,false,false,true,Phase 1 done: DRAFT + unpublished + redirect→hydrangea-pink
football-disbud-chrysanthemums,Football Disbud Chrysanthemums,E,Manual review,,false,false,false,
spider-chrysanthemums,Spider Chrysanthemums,E,Manual review,,false,false,false,
button-pompon-chrysanthemums,Button Pompon Chrysanthemums,E,Manual review,,false,false,false,
standard-carnations-assorted,Standard Carnations (Assorted),B,Complete after image + availability fix,complete,false,true,true,Phase 1 done: library image + untracked + published
spray-mini-carnations,Spray Mini Carnations,E,Manual review,,false,false,false,
anthurium-stems,Anthurium Stems,E,Manual review,,false,false,false,
heliconia,Heliconia,E,Manual review,,false,false,false,
torch-ginger,Torch Ginger,E,Manual review,,false,false,false,
