Handle,Variant SKU,Variant Price,Variant Compare At Price
long-stem-red-roses,TNG-WHL-001-P25-STD,45.00,
long-stem-red-roses,TNG-WHL-001-P50-STD,85.00,
long-stem-red-roses,TNG-WHL-001-P100-STD,160.00,
long-stem-red-roses,TNG-WHL-001-P50-PRM,102.00,
long-stem-red-roses,TNG-WHL-001-P100-PRM,192.00,
long-stem-ivory-roses,TNG-WHL-002-P25-STD,45.00,
long-stem-ivory-roses,TNG-WHL-002-P50-STD,85.00,
long-stem-ivory-roses,TNG-WHL-002-P100-STD,160.00,
long-stem-ivory-roses,TNG-WHL-002-P50-PRM,102.00,
long-stem-ivory-roses,TNG-WHL-002-P100-PRM,192.00,
long-stem-pink-roses,TNG-WHL-003-P25-STD,45.00,
long-stem-pink-roses,TNG-WHL-003-P50-STD,85.00,
long-stem-pink-roses,TNG-WHL-003-P100-STD,160.00,
long-stem-pink-roses,TNG-WHL-003-P50-PRM,102.00,
long-stem-pink-roses,TNG-WHL-003-P100-PRM,192.00,
long-stem-yellow-roses,TNG-WHL-004-P25-STD,45.00,
long-stem-yellow-roses,TNG-WHL-004-P50-STD,85.00,
long-stem-yellow-roses,TNG-WHL-004-P100-STD,160.00,
long-stem-yellow-roses,TNG-WHL-004-P50-PRM,102.00,
long-stem-yellow-roses,TNG-WHL-004-P100-PRM,192.00,
assorted-spray-roses,TNG-WHL-005-P25,40.00,
assorted-spray-roses,TNG-WHL-005-P50,75.00,
assorted-spray-roses,TNG-WHL-005-P100,140.00,
ivory-garden-roses,TNG-WHL-006-P25-STD,45.00,
ivory-garden-roses,TNG-WHL-006-P50-STD,85.00,
ivory-garden-roses,TNG-WHL-006-P50-PRM,102.00,
ivory-garden-roses,TNG-WHL-006-P100-PRM,192.00,
dendrobium-orchid-stems,TNG-WHL-007-P25,70.00,
dendrobium-orchid-stems,TNG-WHL-007-P50,130.00,
dendrobium-orchid-stems,TNG-WHL-007-P100,240.00,
cymbidium-orchid-stems,TNG-WHL-008-P25,70.00,
cymbidium-orchid-stems,TNG-WHL-008-P50,130.00,
cymbidium-orchid-stems,TNG-WHL-008-P100,240.00,
phalaenopsis-orchid-stems,TNG-WHL-009-P25,70.00,
phalaenopsis-orchid-stems,TNG-WHL-009-P50,130.00,
phalaenopsis-orchid-stems,TNG-WHL-009-P100,240.00,
oriental-lilies-white,TNG-WHL-010-P25,55.00,
oriental-lilies-white,TNG-WHL-010-P50,100.00,
oriental-lilies-white,TNG-WHL-010-P100,185.00,
asiatic-lilies-mixed,TNG-WHL-011-P25,55.00,
asiatic-lilies-mixed,TNG-WHL-011-P50,100.00,
asiatic-lilies-mixed,TNG-WHL-011-P100,185.00,
calla-lilies-ivory,TNG-WHL-012-P25,55.00,
calla-lilies-ivory,TNG-WHL-012-P50,100.00,
calla-lilies-ivory,TNG-WHL-012-P100,185.00,
white-hydrangeas,TNG-WHL-013-P25,90.00,
white-hydrangeas,TNG-WHL-013-P50,170.00,
white-hydrangeas,TNG-WHL-013-P100,320.00,
antique-blue-hydrangeas,TNG-WHL-014-P25,90.00,
antique-blue-hydrangeas,TNG-WHL-014-P50,170.00,
antique-blue-hydrangeas,TNG-WHL-014-P100,320.00,
pink-hydrangeas,TNG-WHL-015-P25,90.00,
pink-hydrangeas,TNG-WHL-015-P50,170.00,
pink-hydrangeas,TNG-WHL-015-P100,320.00,
football-disbud-chrysanthemums,TNG-WHL-016-P25,35.00,
football-disbud-chrysanthemums,TNG-WHL-016-P50,65.00,
football-disbud-chrysanthemums,TNG-WHL-016-P100,120.00,
spider-chrysanthemums,TNG-WHL-017-P25,35.00,
spider-chrysanthemums,TNG-WHL-017-P50,65.00,
spider-chrysanthemums,TNG-WHL-017-P100,120.00,
button-pompon-chrysanthemums,TNG-WHL-018-P25,35.00,
button-pompon-chrysanthemums,TNG-WHL-018-P50,65.00,
button-pompon-chrysanthemums,TNG-WHL-018-P100,120.00,
standard-carnations-assorted,TNG-WHL-019-P25,30.00,
standard-carnations-assorted,TNG-WHL-019-P50,55.00,
standard-carnations-assorted,TNG-WHL-019-P100,100.00,
spray-mini-carnations,TNG-WHL-020-P25,30.00,
spray-mini-carnations,TNG-WHL-020-P50,55.00,
spray-mini-carnations,TNG-WHL-020-P100,100.00,
anthurium-stems,TNG-WHL-021-P25-STD,85.00,
anthurium-stems,TNG-WHL-021-P50-STD,160.00,
anthurium-stems,TNG-WHL-021-P50-PRM,192.00,
anthurium-stems,TNG-WHL-021-P100-PRM,360.00,
heliconia,TNG-WHL-022-P25,85.00,
heliconia,TNG-WHL-022-P50,160.00,
heliconia,TNG-WHL-022-P100,300.00,
torch-ginger,TNG-WHL-023-P25,85.00,
torch-ginger,TNG-WHL-023-P50,160.00,
torch-ginger,TNG-WHL-023-P100,300.00,
bird-of-paradise,TNG-WHL-024-P25,85.00,
bird-of-paradise,TNG-WHL-024-P50,160.00,
bird-of-paradise,TNG-WHL-024-P100,300.00,
seeded-eucalyptus,TNG-WHL-025-P25,35.00,
seeded-eucalyptus,TNG-WHL-025-P50,65.00,
seeded-eucalyptus,TNG-WHL-025-P100,120.00,
silver-dollar-eucalyptus,TNG-WHL-026-P25,35.00,
silver-dollar-eucalyptus,TNG-WHL-026-P50,65.00,
silver-dollar-eucalyptus,TNG-WHL-026-P100,120.00,
israeli-ruscus,TNG-WHL-027-P25,35.00,
israeli-ruscus,TNG-WHL-027-P50,65.00,
israeli-ruscus,TNG-WHL-027-P100,120.00,
palm-leather-leaf,TNG-WHL-028-P25,35.00,
palm-leather-leaf,TNG-WHL-028-P50,65.00,
palm-leather-leaf,TNG-WHL-028-P100,120.00,
babys-breath-gypsophila,TNG-WHL-029-P25,28.00,
babys-breath-gypsophila,TNG-WHL-029-P50,52.00,
babys-breath-gypsophila,TNG-WHL-029-P100,95.00,
wax-flower,TNG-WHL-030-P25,28.00,
wax-flower,TNG-WHL-030-P50,52.00,
wax-flower,TNG-WHL-030-P100,95.00,
statice,TNG-WHL-031-P25,28.00,
statice,TNG-WHL-031-P50,52.00,
statice,TNG-WHL-031-P100,95.00,
solidago,TNG-WHL-032-P25,28.00,
solidago,TNG-WHL-032-P50,52.00,
solidago,TNG-WHL-032-P100,95.00,
birthday-brights-bouquet,TNG-RTL-001-CLS,65.00,
birthday-brights-bouquet,TNG-RTL-001-GRD,95.00,
birthday-brights-bouquet,TNG-RTL-001-SIG,135.00,
classic-birthday-blooms,TNG-RTL-002-CLS,65.00,
classic-birthday-blooms,TNG-RTL-002-GRD,95.00,
anniversary-rose-bouquet,TNG-RTL-003-CLS,65.00,
anniversary-rose-bouquet,TNG-RTL-003-GRD,95.00,
anniversary-rose-bouquet,TNG-RTL-003-SIG,135.00,
anniversary-luxe-arrangement,TNG-RTL-004-GRD,95.00,
anniversary-luxe-arrangement,TNG-RTL-004-SIG,135.00,
red-rose-romance-bouquet,TNG-RTL-005-CLS,65.00,
red-rose-romance-bouquet,TNG-RTL-005-GRD,95.00,
red-rose-romance-bouquet,TNG-RTL-005-SIG,135.00,
blush-romance-bouquet,TNG-RTL-006-CLS,65.00,
blush-romance-bouquet,TNG-RTL-006-GRD,95.00,
congratulations-bright-bouquet,TNG-RTL-007-CLS,65.00,
congratulations-bright-bouquet,TNG-RTL-007-GRD,95.00,
congratulations-bright-bouquet,TNG-RTL-007-SIG,135.00,
congratulations-elegant-arrangement,TNG-RTL-008-GRD,95.00,
congratulations-elegant-arrangement,TNG-RTL-008-SIG,135.00,
new-baby-soft-pink-bouquet,TNG-RTL-009-CLS,65.00,
new-baby-soft-pink-bouquet,TNG-RTL-009-GRD,95.00,
new-baby-neutral-bouquet,TNG-RTL-010-CLS,65.00,
new-baby-neutral-bouquet,TNG-RTL-010-GRD,95.00,
get-well-sunshine-bouquet,TNG-RTL-011-CLS,65.00,
get-well-sunshine-bouquet,TNG-RTL-011-GRD,95.00,
get-well-soft-pastels,TNG-RTL-012-CLS,65.00,
get-well-soft-pastels,TNG-RTL-012-GRD,95.00,
designers-choice-bouquet,TNG-RTL-013-CLS,65.00,
designers-choice-bouquet,TNG-RTL-013-GRD,95.00,
designers-choice-bouquet,TNG-RTL-013-SIG,135.00,
seasonal-market-bunch,TNG-RTL-014-CLS,65.00,
seasonal-market-bunch,TNG-RTL-014-GRD,95.00,
everyday-ivory-elegance,TNG-RTL-015-CLS,65.00,
everyday-ivory-elegance,TNG-RTL-015-GRD,95.00,
everyday-ivory-elegance,TNG-RTL-015-SIG,135.00,
modern-mixed-bouquet,TNG-RTL-016-CLS,65.00,
modern-mixed-bouquet,TNG-RTL-016-GRD,95.00,
modern-mixed-bouquet,TNG-RTL-016-SIG,135.00,
standing-spray-classic-white,TNG-SYM-001,240.00,
standing-spray-mixed-tribute,TNG-SYM-002,240.00,
sympathy-wreath-ivory-greenery,TNG-SYM-003,240.00,
casket-spray-full-ivory,TNG-SYM-004,240.00,
peaceful-whites-hand-tied-bouquet,TNG-SYM-005-STD,110.00,
peaceful-whites-hand-tied-bouquet,TNG-SYM-005-DLX,160.00,
peaceful-whites-hand-tied-bouquet,TNG-SYM-005-PRM,220.00,
serene-sympathy-bouquet,TNG-SYM-006-STD,110.00,
serene-sympathy-bouquet,TNG-SYM-006-DLX,160.00,
serene-sympathy-bouquet,TNG-SYM-006-PRM,220.00,
tribute-basket-arrangement,TNG-SYM-007-STD,110.00,
tribute-basket-arrangement,TNG-SYM-007-DLX,160.00,
